##culture:co#seed:1#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 500, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
1,co,0,0,0.013440079984088185,5
1,co,0,1,0.03182404946920064,5
1,co,0,2,0.05083209626423934,5
1,co,0,3,0.09594983841475044,5
1,co,0,4,0.11931663526403544,5
1,co,0,5,0.1343567058093525,5
1,co,0,6,0.14543335384941947,5
1,co,0,7,0.1527763930485656,5
1,co,0,8,0.1572302901156051,5
1,co,0,9,0.1597776993293444,5
1,co,1,0,0.013440079984088185,5
1,co,1,1,0.013440075873086012,5
1,co,1,2,0.013440075347401853,5
1,co,1,3,0.013440075276065264,5
1,co,1,4,0.013440075266208525,5
1,co,1,5,0.01344007526484276,5
1,co,1,6,0.031265911097806985,5
1,co,1,7,0.04379093849171933,5
1,co,1,8,0.053586655356358655,5
1,co,1,9,0.05901918851816471,5
1,co,2,0,0.013440079984088185,5
1,co,2,1,0.013440075873086012,5
1,co,2,2,0.013440075347401853,5
1,co,2,3,0.013440075276065264,5
1,co,2,4,0.013440075266208525,5
1,co,2,5,0.01344007526484276,5
1,co,2,6,0.013440075264653541,5
1,co,2,7,0.013440075264627637,5
1,co,2,8,0.013440075264623298,5
1,co,2,9,0.013440075316475803,5
1,co,3,0,0.013440079984088185,5
1,co,3,1,0.022837354965494477,5
1,co,3,2,0.02970446004344178,5
1,co,3,3,0.05547222573913966,5
1,co,3,4,0.07007993576988997,5
1,co,3,5,0.0797258662217351,5
1,co,3,6,0.08615848164807606,5
1,co,3,7,0.09009088091204186,5
1,co,3,8,0.12005731002426785,5
1,co,3,9,0.13215775393073123,5
1,co,4,0,0.013440079984088185,5
1,co,4,1,0.013440075873086012,5
1,co,4,2,0.013440075347401853,5
1,co,4,3,0.032130246681644825,5
1,co,4,4,0.05157116645740114,5
1,co,4,5,0.06293070996540594,5
1,co,4,6,0.06687805050336054,5
1,co,4,7,0.06796256317239925,5
1,co,4,8,0.06824038281712523,5
1,co,4,9,0.06831025859127747,5
