##culture:co#seed:2#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
2,co,0,0,6.300000000000001
2,co,0,1,6.300000000000001
2,co,0,2,6.300000000000001
2,co,0,3,6.300000000000001
2,co,0,4,6.300000000000001
2,co,0,5,6.300000000000001
2,co,0,6,9.200000000000001
2,co,0,7,10.600000000000001
2,co,0,8,11.0
2,co,0,9,11.100000000000001
2,co,1,0,6.300000000000001
2,co,1,1,6.300000000000001
2,co,1,2,6.300000000000001
2,co,1,3,6.300000000000001
2,co,1,4,6.300000000000001
2,co,1,5,6.300000000000001
2,co,1,6,6.300000000000001
2,co,1,7,6.300000000000001
2,co,1,8,6.300000000000001
2,co,1,9,6.300000000000001
2,co,2,0,6.300000000000001
2,co,2,1,6.300000000000001
2,co,2,2,6.300000000000001
2,co,2,3,6.300000000000001
2,co,2,4,6.300000000000001
2,co,2,5,6.300000000000001
2,co,2,6,6.300000000000001
2,co,2,7,6.300000000000001
2,co,2,8,6.300000000000001
2,co,2,9,6.300000000000001
2,co,3,0,6.300000000000001
2,co,3,1,6.300000000000001
2,co,3,2,6.300000000000001
2,co,3,3,6.300000000000001
2,co,3,4,6.300000000000001
2,co,3,5,6.300000000000001
2,co,3,6,6.300000000000001
2,co,3,7,6.300000000000001
2,co,3,8,6.5
2,co,3,9,6.5
2,co,4,0,6.300000000000001
2,co,4,1,6.300000000000001
2,co,4,2,6.300000000000001
2,co,4,3,9.600000000000001
2,co,4,4,11.100000000000001
2,co,4,5,11.5
2,co,4,6,11.600000000000001
2,co,4,7,11.600000000000001
2,co,4,8,11.600000000000001
2,co,4,9,11.600000000000001
